Month,Year,Province_Type,Revenue (Million Baht),Corrected Data
2565,นนทบุรี,ชาวไทย,197.1,198.55
2565,นนทบุรี,ชาวไทย,174.89,181.87
2565,นนทบุรี,ชาวไทย,187.38,185.6
2565,นนทบุรี,ชาวไทย,198.8,262.45
2565,นนทบุรี,ชาวไทย,225.57,275.52
2565,นนทบุรี,ชาวไทย,223.24,285.76
2565,นนทบุรี,ชาวไทย,284.83,352.04
2565,นนทบุรี,ชาวไทย,297.08,359.45
2565,นนทบุรี,ชาวไทย,304.61,339.99
2565,นนทบุรี,ชาวไทย,288.74,320.18
2565,นนทบุรี,ชาวไทย,333.44,369.79
2565,นนทบุรี,ชาวไทย,344.63,394.73
2564,นนทบุรี,ชาวไทย,77.12,
2564,นนทบุรี,ชาวไทย,96.25,
2564,นนทบุรี,ชาวไทย,120.92,
2564,นนทบุรี,ชาวไทย,48.36,
2564,นนทบุรี,ชาวไทย,4.23,
2564,นนทบุรี,ชาวไทย,3.45,
2564,นนทบุรี,ชาวไทย,2.29,
2564,นนทบุรี,ชาวไทย,3.0,
2564,นนทบุรี,ชาวไทย,12.93,
2564,นนทบุรี,ชาวไทย,34.09,
2564,นนทบุรี,ชาวไทย,102.73,
2564,นนทบุรี,ชาวไทย,211.96,
2563,นนทบุรี,ชาวไทย,385.54,
2563,นนทบุรี,ชาวไทย,262.99,
2563,นนทบุรี,ชาวไทย,48.04,
2563,นนทบุรี,ชาวไทย,0.0,
2563,นนทบุรี,ชาวไทย,1.81,
2563,นนทบุรี,ชาวไทย,97.9,
2563,นนทบุรี,ชาวไทย,113.09,
2563,นนทบุรี,ชาวไทย,138.2,
2563,นนทบุรี,ชาวไทย,128.87,
2563,นนทบุรี,ชาวไทย,141.15,
2563,นนทบุรี,ชาวไทย,217.67,
2563,นนทบุรี,ชาวไทย,201.54,
2565,นนทบุรี,ชาวต่างชาติ,1.59,3.13
2565,นนทบุรี,ชาวต่างชาติ,1.47,2.62
2565,นนทบุรี,ชาวต่างชาติ,1.0,2.13
2565,นนทบุรี,ชาวต่างชาติ,0.85,1.12
2565,นนทบุรี,ชาวต่างชาติ,8.17,11.22
2565,นนทบุรี,ชาวต่างชาติ,10.45,18.92
2565,นนทบุรี,ชาวต่างชาติ,10.59,17.22
2565,นนทบุรี,ชาวต่างชาติ,12.25,20.2
2565,นนทบุรี,ชาวต่างชาติ,12.5,20.97
2565,นนทบุรี,ชาวต่างชาติ,13.84,23.07
2565,นนทบุรี,ชาวต่างชาติ,15.99,25.63
2565,นนทบุรี,ชาวต่างชาติ,17.4,27.05
2564,นนทบุรี,ชาวต่างชาติ,0.0,
2564,นนทบุรี,ชาวต่างชาติ,0.09,
2564,นนทบุรี,ชาวต่างชาติ,0.24,
2564,นนทบุรี,ชาวต่างชาติ,0.16,
2564,นนทบุรี,ชาวต่างชาติ,0.0147,
2564,นนทบุรี,ชาวต่างชาติ,0.02,
2564,นนทบุรี,ชาวต่างชาติ,0.01,
2564,นนทบุรี,ชาวต่างชาติ,0.01,
2564,นนทบุรี,ชาวต่างชาติ,0.075,
2564,นนทบุรี,ชาวต่างชาติ,0.125,
2564,นนทบุรี,ชาวต่างชาติ,0.405,
2564,นนทบุรี,ชาวต่างชาติ,1.585,
2563,นนทบุรี,ชาวต่างชาติ,83.5,
2563,นนทบุรี,ชาวต่างชาติ,17.48,
2563,นนทบุรี,ชาวต่างชาติ,8.24,
2563,นนทบุรี,ชาวต่างชาติ,0.0,
2563,นนทบุรี,ชาวต่างชาติ,0.0,
2563,นนทบุรี,ชาวต่างชาติ,0.0,
2563,นนทบุรี,ชาวต่างชาติ,0.18,
2563,นนทบุรี,ชาวต่างชาติ,0.15,
2563,นนทบุรี,ชาวต่างชาติ,0.0,
2563,นนทบุรี,ชาวต่างชาติ,0.06,
2563,นนทบุรี,ชาวต่างชาติ,0.92,
2563,นนทบุรี,ชาวต่างชาติ,0.77,
2566,นนทบุรี,ชาวไทย,480.77,
2566,นนทบุรี,ชาวไทย,425.37,
2566,นนทบุรี,ชาวไทย,390.28,
2566,นนทบุรี,ชาวไทย,400.61,
2566,นนทบุรี,ชาวไทย,395.61,
2566,นนทบุรี,ชาวไทย,396.04,
2566,นนทบุรี,ชาวไทย,427.54,
2566,นนทบุรี,ชาวไทย,448.68,
2566,นนทบุรี,ชาวไทย,454.2,
2566,นนทบุรี,ชาวไทย,416.62,
2566,นนทบุรี,ชาวไทย,473.48,
2566,นนทบุรี,ชาวไทย,502.81,
2566,นนทบุรี,ชาวต่างชาติ,41.35,
2566,นนทบุรี,ชาวต่างชาติ,51.21,
2566,นนทบุรี,ชาวต่างชาติ,56.44,
2566,นนทบุรี,ชาวต่างชาติ,44.58,
2566,นนทบุรี,ชาวต่างชาติ,38.65,
2566,นนทบุรี,ชาวต่างชาติ,43.25,
2566,นนทบุรี,ชาวต่างชาติ,46.26,
2566,นนทบุรี,ชาวต่างชาติ,48.71,
2566,นนทบุรี,ชาวต่างชาติ,34.02,
2566,นนทบุรี,ชาวต่างชาติ,38.39,
2566,นนทบุรี,ชาวต่างชาติ,39.02,
2566,นนทบุรี,ชาวต่างชาติ,43.15,
2567,นนทบุรี,ชาวไทย,488.42,
2567,นนทบุรี,ชาวไทย,501.81,
2567,นนทบุรี,ชาวไทย,546.77,
2567,นนทบุรี,ชาวไทย,556.9,
2567,นนทบุรี,ชาวไทย,509.26,
2567,นนทบุรี,ชาวต่างชาติ,42.08,
2567,นนทบุรี,ชาวต่างชาติ,52.69,
2567,นนทบุรี,ชาวต่างชาติ,60.33,
2567,นนทบุรี,ชาวต่างชาติ,76.77,
2567,นนทบุรี,ชาวต่างชาติ,46.35,
